Link_Metrics

Link ID,Link Throughput Plot,Packets Transmitted,Packets Transmitted,Packets Errored,Packets Errored,Packets Collided,Packets Collided,Bytes Transmitted(bytes),Payload Transmitted(bytes),Overhead Transmitted(bytes)
 , ,Data,Control,Data,Control,Data,Control, , , 
All,NA,13339770,3470,0,0,0,0,20116864500,19476064200,640800300
1,NA,0,530,0,0,0,0,100040,0,100040
2,NA,0,120,0,0,0,0,19680,0,19680
3,NA,0,590,0,0,0,0,125220,0,125220
4,NA,3082200,0,0,0,0,0,4666450800,4500012000,166438800
5,NA,3082200,0,0,0,0,0,4586313600,4500012000,86301600
6,NA,3082200,0,0,0,0,0,4666450800,4500012000,166438800
7,NA,0,27,0,0,0,0,5514,0,5514
8,NA,240877,0,0,0,0,0,364687778,351680420,13007358
9,NA,0,52,0,0,0,0,6968,0,6968
10,NA,0,18,0,0,0,0,3804,0,3804
11,NA,139481,0,0,0,0,0,211174234,203642260,7531974
12,NA,0,44,0,0,0,0,5896,0,5896
13,NA,0,0,0,0,0,0,0,0,0
14,NA,21510,0,0,0,0,0,32566140,31404600,1161540
15,NA,0,0,0,0,0,0,0,0,0
16,NA,0,37,0,0,0,0,7926,0,7926
17,NA,107345,0,0,0,0,0,162520330,156723700,5796630
18,NA,0,116,0,0,0,0,15544,0,15544
19,NA,0,19,0,0,0,0,4122,0,4122
20,NA,47730,0,0,0,0,0,72263220,69685800,2577420
21,NA,0,64,0,0,0,0,8576,0,8576
22,NA,0,19,0,0,0,0,4122,0,4122
23,NA,91700,0,0,0,0,0,138833800,133882000,4951800
24,NA,0,64,0,0,0,0,8576,0,8576
25,NA,0,18,0,0,0,0,3804,0,3804
26,NA,33258,0,0,0,0,0,50352612,48556680,1795932
27,NA,0,52,0,0,0,0,6968,0,6968
28,NA,0,25,0,0,0,0,5454,0,5454
29,NA,63893,0,0,0,0,0,96734002,93283780,3450222
30,NA,0,88,0,0,0,0,11792,0,11792
31,NA,0,25,0,0,0,0,5262,0,5262
32,NA,167073,0,0,0,0,0,252948522,243926580,9021942
33,NA,0,60,0,0,0,0,8040,0,8040
34,NA,0,33,0,0,0,0,6654,0,6654
35,NA,384668,0,0,0,0,0,582387352,561615280,20772072
36,NA,0,48,0,0,0,0,6432,0,6432
37,NA,0,21,0,0,0,0,4374,0,4374
38,NA,142084,0,0,0,0,0,215115176,207442640,7672536
39,NA,0,52,0,0,0,0,6968,0,6968
40,NA,0,35,0,0,0,0,7482,0,7482
41,NA,106596,0,0,0,0,0,161386344,155630160,5756184
42,NA,0,108,0,0,0,0,14472,0,14472
43,NA,0,30,0,0,0,0,6468,0,6468
44,NA,98126,0,0,0,0,0,148562764,143263960,5298804
45,NA,0,100,0,0,0,0,13400,0,13400
46,NA,0,21,0,0,0,0,4566,0,4566
47,NA,95336,0,0,0,0,0,144338704,139190560,5148144
48,NA,0,72,0,0,0,0,9648,0,9648
49,NA,0,3,0,0,0,0,570,0,570
50,NA,72587,0,0,0,0,0,109896718,105977020,3919698
51,NA,0,0,0,0,0,0,0,0,0
52,NA,0,38,0,0,0,0,8244,0,8244
53,NA,347974,0,0,0,0,0,526832636,508042040,18790596
54,NA,0,112,0,0,0,0,15008,0,15008
55,NA,0,37,0,0,0,0,8118,0,8118
56,NA,257651,0,0,0,0,0,390083614,376170460,13913154
57,NA,0,124,0,0,0,0,16616,0,16616
58,NA,0,20,0,0,0,0,4248,0,4248
59,NA,177092,0,0,0,0,0,268117288,258554320,9562968
60,NA,0,52,0,0,0,0,6968,0,6968
61,NA,0,13,0,0,0,0,2598,0,2598
62,NA,125659,0,0,0,0,0,190247726,183462140,6785586
63,NA,0,20,0,0,0,0,2680,0,2680
64,NA,0,5,0,0,0,0,1014,0,1014
65,NA,73211,0,0,0,0,0,110841454,106888060,3953394
66,NA,0,8,0,0,0,0,1072,0,1072
67,NA,0,14,0,0,0,0,3108,0,3108
68,NA,35674,0,0,0,0,0,54010436,52084040,1926396
69,NA,0,56,0,0,0,0,7504,0,7504
