Link_Metrics

Link ID,Link Throughput Plot,Packets Transmitted,Packets Transmitted,Packets Errored,Packets Errored,Packets Collided,Packets Collided,Bytes Transmitted(bytes),Payload Transmitted(bytes),Overhead Transmitted(bytes)
 , ,Data,Control,Data,Control,Data,Control, , , 
All,NA,13339770,2700,0,0,0,0,20116735140,19476064200,640670940
1,NA,0,420,0,0,0,0,78480,0,78480
2,NA,0,120,0,0,0,0,19680,0,19680
3,NA,0,480,0,0,0,0,100800,0,100800
4,NA,3082200,0,0,0,0,0,4666450800,4500012000,166438800
5,NA,3082200,0,0,0,0,0,4586313600,4500012000,86301600
6,NA,3082200,0,0,0,0,0,4666450800,4500012000,166438800
7,NA,0,27,0,0,0,0,5514,0,5514
8,NA,238204,0,0,0,0,0,360640856,347777840,12863016
9,NA,0,52,0,0,0,0,6968,0,6968
10,NA,0,16,0,0,0,0,3360,0,3360
11,NA,134964,0,0,0,0,0,204335496,197047440,7288056
12,NA,0,36,0,0,0,0,4824,0,4824
13,NA,0,0,0,0,0,0,0,0,0
14,NA,21510,0,0,0,0,0,32566140,31404600,1161540
15,NA,0,0,0,0,0,0,0,0,0
16,NA,0,27,0,0,0,0,5706,0,5706
17,NA,156866,0,0,0,0,0,237495124,229024360,8470764
18,NA,0,76,0,0,0,0,10184,0,10184
19,NA,0,11,0,0,0,0,2346,0,2346
20,NA,71358,0,0,0,0,0,108036012,104182680,3853332
21,NA,0,32,0,0,0,0,4288,0,4288
22,NA,0,23,0,0,0,0,5010,0,5010
23,NA,172237,0,0,0,0,0,260766818,251466020,9300798
24,NA,0,68,0,0,0,0,9112,0,9112
25,NA,0,20,0,0,0,0,4248,0,4248
26,NA,29972,0,0,0,0,0,45377608,43759120,1618488
27,NA,0,64,0,0,0,0,8576,0,8576
28,NA,0,17,0,0,0,0,3678,0,3678
29,NA,71493,0,0,0,0,0,108240402,104379780,3860622
30,NA,0,56,0,0,0,0,7504,0,7504
31,NA,0,19,0,0,0,0,3930,0,3930
32,NA,142833,0,0,0,0,0,216249162,208536180,7712982
33,NA,0,44,0,0,0,0,5896,0,5896
34,NA,0,41,0,0,0,0,8430,0,8430
35,NA,393095,0,0,0,0,0,595145830,573918700,21227130
36,NA,0,80,0,0,0,0,10720,0,10720
37,NA,0,21,0,0,0,0,4374,0,4374
38,NA,143725,0,0,0,0,0,217599650,209838500,7761150
39,NA,0,52,0,0,0,0,6968,0,6968
40,NA,0,17,0,0,0,0,3486,0,3486
41,NA,81737,0,0,0,0,0,123749818,119336020,4413798
42,NA,0,40,0,0,0,0,5360,0,5360
43,NA,0,20,0,0,0,0,4248,0,4248
44,NA,184004,0,0,0,0,0,278582056,268645840,9936216
45,NA,0,52,0,0,0,0,6968,0,6968
46,NA,0,15,0,0,0,0,3234,0,3234
47,NA,91632,0,0,0,0,0,138730848,133782720,4948128
48,NA,0,48,0,0,0,0,6432,0,6432
49,NA,0,3,0,0,0,0,570,0,570
50,NA,72587,0,0,0,0,0,109896718,105977020,3919698
51,NA,0,0,0,0,0,0,0,0,0
52,NA,0,34,0,0,0,0,7356,0,7356
53,NA,359061,0,0,0,0,0,543618354,524229060,19389294
54,NA,0,88,0,0,0,0,11792,0,11792
55,NA,0,17,0,0,0,0,3678,0,3678
56,NA,123480,0,0,0,0,0,186948720,180280800,6667920
57,NA,0,52,0,0,0,0,6968,0,6968
58,NA,0,18,0,0,0,0,3804,0,3804
59,NA,187363,0,0,0,0,0,283667582,273549980,10117602
60,NA,0,40,0,0,0,0,5360,0,5360
61,NA,0,11,0,0,0,0,2154,0,2154
62,NA,125042,0,0,0,0,0,189313588,182561320,6752268
63,NA,0,12,0,0,0,0,1608,0,1608
64,NA,0,9,0,0,0,0,1902,0,1902
65,NA,73207,0,0,0,0,0,110835398,106882220,3953178
66,NA,0,24,0,0,0,0,3216,0,3216
67,NA,0,4,0,0,0,0,888,0,888
68,NA,23973,0,0,0,0,0,36295122,35000580,1294542
69,NA,0,16,0,0,0,0,2144,0,2144
70,NA,0,5,0,0,0,0,1014,0,1014
71,NA,70334,0,0,0,0,0,106485676,102687640,3798036
72,NA,0,8,0,0,0,0,1072,0,1072
73,NA,0,10,0,0,0,0,2220,0,2220
74,NA,56226,0,0,0,0,0,85126164,82089960,3036204
75,NA,0,36,0,0,0,0,4824,0,4824
76,NA,0,10,0,0,0,0,2028,0,2028
77,NA,75325,0,0,0,0,0,114042050,109974500,4067550
78,NA,0,20,0,0,0,0,2680,0,2680
79,NA,0,10,0,0,0,0,2028,0,2028
80,NA,127928,0,0,0,0,0,193682992,186774880,6908112
81,NA,0,16,0,0,0,0,2144,0,2144
82,NA,0,8,0,0,0,0,1584,0,1584
83,NA,23207,0,0,0,0,0,35135398,33882220,1253178
84,NA,0,16,0,0,0,0,2144,0,2144
85,NA,0,11,0,0,0,0,2154,0,2154
86,NA,164015,0,0,0,0,0,248318710,239461900,8856810
87,NA,0,12,0,0,0,0,1608,0,1608
88,NA,0,5,0,0,0,0,1014,0,1014
89,NA,22665,0,0,0,0,0,34314810,33090900,1223910
90,NA,0,12,0,0,0,0,1608,0,1608
91,NA,0,11,0,0,0,0,2346,0,2346
92,NA,28826,0,0,0,0,0,43642564,42085960,1556604
93,NA,0,36,0,0,0,0,4824,0,4824
94,NA,0,3,0,0,0,0,570,0,570
95,NA,72596,0,0,0,0,0,109910344,105990160,3920184
96,NA,0,0,0,0,0,0,0,0,0
