Link_Metrics

Link ID,Link Throughput Plot,Packets Transmitted,Packets Transmitted,Packets Errored,Packets Errored,Packets Collided,Packets Collided,Bytes Transmitted(bytes),Payload Transmitted(bytes),Overhead Transmitted(bytes)
 , ,Data,Control,Data,Control,Data,Control, , , 
All,NA,13339770,1636,0,0,0,0,20116556388,19476064200,640492188
1,NA,0,268,0,0,0,0,48688,0,48688
2,NA,0,120,0,0,0,0,19680,0,19680
3,NA,0,328,0,0,0,0,67056,0,67056
4,NA,3082200,0,0,0,0,0,4666450800,4500012000,166438800
5,NA,3082200,0,0,0,0,0,4586313600,4500012000,86301600
6,NA,3082200,0,0,0,0,0,4666450800,4500012000,166438800
7,NA,0,17,0,0,0,0,3294,0,3294
8,NA,230802,0,0,0,0,0,349434228,336970920,12463308
9,NA,0,12,0,0,0,0,1608,0,1608
10,NA,0,14,0,0,0,0,2916,0,2916
11,NA,156746,0,0,0,0,0,237313444,228849160,8464284
12,NA,0,32,0,0,0,0,4288,0,4288
13,NA,0,0,0,0,0,0,0,0,0
14,NA,21510,0,0,0,0,0,32566140,31404600,1161540
15,NA,0,0,0,0,0,0,0,0,0
16,NA,0,21,0,0,0,0,4374,0,4374
17,NA,193029,0,0,0,0,0,292245906,281822340,10423566
18,NA,0,48,0,0,0,0,6432,0,6432
19,NA,0,7,0,0,0,0,1458,0,1458
20,NA,75259,0,0,0,0,0,113942126,109878140,4063986
21,NA,0,16,0,0,0,0,2144,0,2144
22,NA,0,11,0,0,0,0,2346,0,2346
23,NA,83482,0,0,0,0,0,126391748,121883720,4508028
24,NA,0,32,0,0,0,0,4288,0,4288
25,NA,0,10,0,0,0,0,2028,0,2028
26,NA,29766,0,0,0,0,0,45065724,43458360,1607364
27,NA,0,24,0,0,0,0,3216,0,3216
28,NA,0,11,0,0,0,0,2346,0,2346
29,NA,43754,0,0,0,0,0,66243556,63880840,2362716
30,NA,0,32,0,0,0,0,4288,0,4288
31,NA,0,11,0,0,0,0,2154,0,2154
32,NA,135637,0,0,0,0,0,205354418,198030020,7324398
33,NA,0,12,0,0,0,0,1608,0,1608
34,NA,0,27,0,0,0,0,5322,0,5322
35,NA,366378,0,0,0,0,0,554696292,534911880,19784412
36,NA,0,24,0,0,0,0,3216,0,3216
37,NA,0,13,0,0,0,0,2598,0,2598
38,NA,135090,0,0,0,0,0,204526260,197231400,7294860
39,NA,0,20,0,0,0,0,2680,0,2680
40,NA,0,19,0,0,0,0,3930,0,3930
41,NA,131055,0,0,0,0,0,198417270,191340300,7076970
42,NA,0,44,0,0,0,0,5896,0,5896
43,NA,0,14,0,0,0,0,2916,0,2916
44,NA,90725,0,0,0,0,0,137357650,132458500,4899150
45,NA,0,36,0,0,0,0,4824,0,4824
46,NA,0,9,0,0,0,0,1902,0,1902
47,NA,82379,0,0,0,0,0,124721806,120273340,4448466
48,NA,0,20,0,0,0,0,2680,0,2680
49,NA,0,3,0,0,0,0,570,0,570
50,NA,72587,0,0,0,0,0,109896718,105977020,3919698
51,NA,0,0,0,0,0,0,0,0,0
52,NA,0,16,0,0,0,0,3360,0,3360
53,NA,259204,0,0,0,0,0,392434856,378437840,13997016
54,NA,0,28,0,0,0,0,3752,0,3752
55,NA,0,15,0,0,0,0,3234,0,3234
56,NA,209977,0,0,0,0,0,317905178,306566420,11338758
57,NA,0,36,0,0,0,0,4824,0,4824
58,NA,0,10,0,0,0,0,2028,0,2028
59,NA,177086,0,0,0,0,0,268108204,258545560,9562644
60,NA,0,12,0,0,0,0,1608,0,1608
61,NA,0,9,0,0,0,0,1710,0,1710
62,NA,124428,0,0,0,0,0,188383992,181664880,6719112
63,NA,0,4,0,0,0,0,536,0,536
64,NA,0,3,0,0,0,0,570,0,570
65,NA,72596,0,0,0,0,0,109910344,105990160,3920184
66,NA,0,0,0,0,0,0,0,0,0
67,NA,0,8,0,0,0,0,1776,0,1776
68,NA,35065,0,0,0,0,0,53088410,51194900,1893510
69,NA,0,32,0,0,0,0,4288,0,4288
70,NA,0,5,0,0,0,0,1014,0,1014
71,NA,74444,0,0,0,0,0,112708216,108688240,4019976
72,NA,0,8,0,0,0,0,1072,0,1072
73,NA,0,6,0,0,0,0,1332,0,1332
74,NA,61161,0,0,0,0,0,92597754,89295060,3302694
75,NA,0,20,0,0,0,0,2680,0,2680
76,NA,0,12,0,0,0,0,2472,0,2472
77,NA,126897,0,0,0,0,0,192122058,185269620,6852438
78,NA,0,24,0,0,0,0,3216,0,3216
79,NA,0,8,0,0,0,0,1584,0,1584
80,NA,125667,0,0,0,0,0,190259838,183473820,6786018
81,NA,0,8,0,0,0,0,1072,0,1072
82,NA,0,6,0,0,0,0,1140,0,1140
83,NA,23002,0,0,0,0,0,34825028,33582920,1242108
84,NA,0,8,0,0,0,0,1072,0,1072
85,NA,0,9,0,0,0,0,1710,0,1710
86,NA,174494,0,0,0,0,0,264183916,254761240,9422676
87,NA,0,0,0,0,0,0,0,0,0
88,NA,0,3,0,0,0,0,570,0,570
89,NA,22255,0,0,0,0,0,33694070,32492300,1201770
90,NA,0,4,0,0,0,0,536,0,536
91,NA,0,9,0,0,0,0,1902,0,1902
92,NA,57385,0,0,0,0,0,86880890,83782100,3098790
93,NA,0,24,0,0,0,0,3216,0,3216
94,NA,0,3,0,0,0,0,570,0,570
95,NA,72596,0,0,0,0,0,109910344,105990160,3920184
96,NA,0,0,0,0,0,0,0,0,0
97,NA,0,17,0,0,0,0,3486,0,3486
98,NA,260169,0,0,0,0,0,393895866,379846740,14049126
99,NA,0,24,0,0,0,0,3216,0,3216
100,NA,0,2,0,0,0,0,444,0,444
101,NA,24385,0,0,0,0,0,36918890,35602100,1316790
102,NA,0,8,0,0,0,0,1072,0,1072
103,NA,0,0,0,0,0,0,0,0,0
104,NA,21510,0,0,0,0,0,32566140,31404600,1161540
105,NA,0,0,0,0,0,0,0,0,0
106,NA,0,0,0,0,0,0,0,0,0
107,NA,21510,0,0,0,0,0,32566140,31404600,1161540
108,NA,0,0,0,0,0,0,0,0,0
109,NA,0,0,0,0,0,0,0,0,0
110,NA,21510,0,0,0,0,0,32566140,31404600,1161540
111,NA,0,0,0,0,0,0,0,0,0
112,NA,0,0,0,0,0,0,0,0,0
113,NA,21510,0,0,0,0,0,32566140,31404600,1161540
114,NA,0,0,0,0,0,0,0,0,0
115,NA,0,0,0,0,0,0,0,0,0
116,NA,21510,0,0,0,0,0,32566140,31404600,1161540
117,NA,0,0,0,0,0,0,0,0,0
118,NA,0,0,0,0,0,0,0,0,0
119,NA,21510,0,0,0,0,0,32566140,31404600,1161540
120,NA,0,0,0,0,0,0,0,0,0
121,NA,0,0,0,0,0,0,0,0,0
122,NA,21510,0,0,0,0,0,32566140,31404600,1161540
123,NA,0,0,0,0,0,0,0,0,0
124,NA,0,0,0,0,0,0,0,0,0
125,NA,21510,0,0,0,0,0,32566140,31404600,1161540
126,NA,0,0,0,0,0,0,0,0,0
127,NA,0,0,0,0,0,0,0,0,0
128,NA,21510,0,0,0,0,0,32566140,31404600,1161540
129,NA,0,0,0,0,0,0,0,0,0
130,NA,0,0,0,0,0,0,0,0,0
131,NA,21510,0,0,0,0,0,32566140,31404600,1161540
132,NA,0,0,0,0,0,0,0,0,0
133,NA,0,0,0,0,0,0,0,0,0
134,NA,21510,0,0,0,0,0,32566140,31404600,1161540
135,NA,0,0,0,0,0,0,0,0,0
136,NA,0,0,0,0,0,0,0,0,0
