Link_Metrics

Link ID,Link Throughput Plot,Packets Transmitted,Packets Transmitted,Packets Errored,Packets Errored,Packets Collided,Packets Collided,Bytes Transmitted(bytes),Payload Transmitted(bytes),Overhead Transmitted(bytes)
 , ,Data,Control,Data,Control,Data,Control, , , 
All,NA,13339770,2406,0,0,0,0,20116685748,19476064200,640621548
1,NA,0,378,0,0,0,0,70248,0,70248
2,NA,0,120,0,0,0,0,19680,0,19680
3,NA,0,438,0,0,0,0,91476,0,91476
4,NA,3082200,0,0,0,0,0,4666450800,4500012000,166438800
5,NA,3082200,0,0,0,0,0,4586313600,4500012000,86301600
6,NA,3082200,0,0,0,0,0,4666450800,4500012000,166438800
7,NA,0,31,0,0,0,0,6402,0,6402
8,NA,242110,0,0,0,0,0,366554540,353480600,13073940
9,NA,0,64,0,0,0,0,8576,0,8576
10,NA,0,16,0,0,0,0,3360,0,3360
11,NA,136609,0,0,0,0,0,206826026,199449140,7376886
12,NA,0,36,0,0,0,0,4824,0,4824
13,NA,0,0,0,0,0,0,0,0,0
14,NA,21510,0,0,0,0,0,32566140,31404600,1161540
15,NA,0,0,0,0,0,0,0,0,0
16,NA,0,25,0,0,0,0,5262,0,5262
17,NA,79817,0,0,0,0,0,120842938,116532820,4310118
18,NA,0,72,0,0,0,0,9648,0,9648
19,NA,0,7,0,0,0,0,1458,0,1458
20,NA,30674,0,0,0,0,0,46440436,44784040,1656396
21,NA,0,20,0,0,0,0,2680,0,2680
22,NA,0,15,0,0,0,0,3234,0,3234
23,NA,91082,0,0,0,0,0,137898148,132979720,4918428
24,NA,0,48,0,0,0,0,6432,0,6432
25,NA,0,18,0,0,0,0,3804,0,3804
26,NA,33671,0,0,0,0,0,50977894,49159660,1818234
27,NA,0,56,0,0,0,0,7504,0,7504
28,NA,0,15,0,0,0,0,3234,0,3234
29,NA,62045,0,0,0,0,0,93936130,90585700,3350430
30,NA,0,48,0,0,0,0,6432,0,6432
31,NA,0,23,0,0,0,0,4818,0,4818
32,NA,154952,0,0,0,0,0,234597328,226229920,8367408
33,NA,0,56,0,0,0,0,7504,0,7504
34,NA,0,43,0,0,0,0,8874,0,8874
35,NA,444665,0,0,0,0,0,673222810,649210900,24011910
36,NA,0,80,0,0,0,0,10720,0,10720
37,NA,0,13,0,0,0,0,2598,0,2598
38,NA,130566,0,0,0,0,0,197676924,190626360,7050564
39,NA,0,16,0,0,0,0,2144,0,2144
40,NA,0,11,0,0,0,0,2154,0,2154
41,NA,81531,0,0,0,0,0,123437934,119035260,4402674
42,NA,0,16,0,0,0,0,2144,0,2144
43,NA,0,14,0,0,0,0,2916,0,2916
44,NA,122160,0,0,0,0,0,184950240,178353600,6596640
45,NA,0,32,0,0,0,0,4288,0,4288
46,NA,0,11,0,0,0,0,2346,0,2346
47,NA,96973,0,0,0,0,0,146817122,141580580,5236542
48,NA,0,32,0,0,0,0,4288,0,4288
49,NA,0,3,0,0,0,0,570,0,570
50,NA,72587,0,0,0,0,0,109896718,105977020,3919698
51,NA,0,0,0,0,0,0,0,0,0
52,NA,0,26,0,0,0,0,5580,0,5580
53,NA,335019,0,0,0,0,0,507218766,489127740,18091026
54,NA,0,60,0,0,0,0,8040,0,8040
55,NA,0,15,0,0,0,0,3234,0,3234
56,NA,229292,0,0,0,0,0,347148088,334766320,12381768
57,NA,0,36,0,0,0,0,4824,0,4824
58,NA,0,20,0,0,0,0,4248,0,4248
59,NA,226602,0,0,0,0,0,343075428,330838920,12236508
60,NA,0,48,0,0,0,0,6432,0,6432
61,NA,0,9,0,0,0,0,1710,0,1710
62,NA,124428,0,0,0,0,0,188383992,181664880,6719112
63,NA,0,4,0,0,0,0,536,0,536
64,NA,0,3,0,0,0,0,570,0,570
65,NA,72596,0,0,0,0,0,109910344,105990160,3920184
66,NA,0,0,0,0,0,0,0,0,0
67,NA,0,12,0,0,0,0,2664,0,2664
68,NA,71635,0,0,0,0,0,108455390,104587100,3868290
69,NA,0,44,0,0,0,0,5896,0,5896
70,NA,0,7,0,0,0,0,1458,0,1458
71,NA,69101,0,0,0,0,0,104618914,100887460,3731454
72,NA,0,20,0,0,0,0,2680,0,2680
73,NA,0,4,0,0,0,0,888,0,888
74,NA,65685,0,0,0,0,0,99447090,95900100,3546990
75,NA,0,16,0,0,0,0,2144,0,2144
76,NA,0,8,0,0,0,0,1584,0,1584
77,NA,74711,0,0,0,0,0,113112454,109078060,4034394
78,NA,0,12,0,0,0,0,1608,0,1608
79,NA,0,8,0,0,0,0,1584,0,1584
80,NA,125667,0,0,0,0,0,190259838,183473820,6786018
81,NA,0,8,0,0,0,0,1072,0,1072
82,NA,0,6,0,0,0,0,1140,0,1140
83,NA,23002,0,0,0,0,0,34825028,33582920,1242108
84,NA,0,8,0,0,0,0,1072,0,1072
85,NA,0,11,0,0,0,0,2154,0,2154
86,NA,175316,0,0,0,0,0,265428424,255961360,9467064
87,NA,0,8,0,0,0,0,1072,0,1072
88,NA,0,3,0,0,0,0,570,0,570
89,NA,22255,0,0,0,0,0,33694070,32492300,1201770
90,NA,0,4,0,0,0,0,536,0,536
91,NA,0,17,0,0,0,0,3678,0,3678
92,NA,42182,0,0,0,0,0,63863548,61585720,2277828
93,NA,0,60,0,0,0,0,8040,0,8040
94,NA,0,5,0,0,0,0,1014,0,1014
95,NA,71774,0,0,0,0,0,108665836,104790040,3875796
96,NA,0,8,0,0,0,0,1072,0,1072
97,NA,0,29,0,0,0,0,6150,0,6150
98,NA,185578,0,0,0,0,0,280965092,270943880,10021212
99,NA,0,80,0,0,0,0,10720,0,10720
100,NA,0,4,0,0,0,0,888,0,888
101,NA,23150,0,0,0,0,0,35049100,33799000,1250100
102,NA,0,16,0,0,0,0,2144,0,2144
103,NA,0,0,0,0,0,0,0,0,0
104,NA,21510,0,0,0,0,0,32566140,31404600,1161540
105,NA,0,0,0,0,0,0,0,0,0
106,NA,0,2,0,0,0,0,444,0,444
107,NA,22332,0,0,0,0,0,33810648,32604720,1205928
108,NA,0,8,0,0,0,0,1072,0,1072
109,NA,0,4,0,0,0,0,888,0,888
110,NA,30753,0,0,0,0,0,46560042,44899380,1660662
111,NA,0,16,0,0,0,0,2144,0,2144
112,NA,0,0,0,0,0,0,0,0,0
113,NA,21510,0,0,0,0,0,32566140,31404600,1161540
114,NA,0,0,0,0,0,0,0,0,0
115,NA,0,0,0,0,0,0,0,0,0
116,NA,21510,0,0,0,0,0,32566140,31404600,1161540
117,NA,0,0,0,0,0,0,0,0,0
118,NA,0,0,0,0,0,0,0,0,0
119,NA,21510,0,0,0,0,0,32566140,31404600,1161540
120,NA,0,0,0,0,0,0,0,0,0
121,NA,0,0,0,0,0,0,0,0,0
122,NA,21510,0,0,0,0,0,32566140,31404600,1161540
123,NA,0,0,0,0,0,0,0,0,0
124,NA,0,0,0,0,0,0,0,0,0
125,NA,21510,0,0,0,0,0,32566140,31404600,1161540
126,NA,0,0,0,0,0,0,0,0,0
127,NA,0,0,0,0,0,0,0,0,0
128,NA,21510,0,0,0,0,0,32566140,31404600,1161540
129,NA,0,0,0,0,0,0,0,0,0
130,NA,0,0,0,0,0,0,0,0,0
131,NA,21510,0,0,0,0,0,32566140,31404600,1161540
132,NA,0,0,0,0,0,0,0,0,0
133,NA,0,0,0,0,0,0,0,0,0
134,NA,21510,0,0,0,0,0,32566140,31404600,1161540
135,NA,0,0,0,0,0,0,0,0,0
136,NA,0,0,0,0,0,0,0,0,0
137,NA,21510,0,0,0,0,0,32566140,31404600,1161540
138,NA,0,0,0,0,0,0,0,0,0
139,NA,0,0,0,0,0,0,0,0,0
