Link_Metrics

Link ID,Link Throughput Plot,Packets Transmitted,Packets Transmitted,Packets Errored,Packets Errored,Packets Collided,Packets Collided,Bytes Transmitted(bytes),Payload Transmitted(bytes),Overhead Transmitted(bytes)
 , ,Data,Control,Data,Control,Data,Control, , , 
All,NA,13339770,2588,0,0,0,0,20116716324,19476064200,640652124
1,NA,0,404,0,0,0,0,75344,0,75344
2,NA,0,120,0,0,0,0,19680,0,19680
3,NA,0,464,0,0,0,0,97248,0,97248
4,NA,3082200,0,0,0,0,0,4666450800,4500012000,166438800
5,NA,3082200,0,0,0,0,0,4586313600,4500012000,86301600
6,NA,3082200,0,0,0,0,0,4666450800,4500012000,166438800
7,NA,0,31,0,0,0,0,6402,0,6402
8,NA,310734,0,0,0,0,0,470451276,453671640,16779636
9,NA,0,60,0,0,0,0,8040,0,8040
10,NA,0,10,0,0,0,0,2028,0,2028
11,NA,127774,0,0,0,0,0,193449836,186550040,6899796
12,NA,0,16,0,0,0,0,2144,0,2144
13,NA,0,0,0,0,0,0,0,0,0
14,NA,21510,0,0,0,0,0,32566140,31404600,1161540
15,NA,0,0,0,0,0,0,0,0,0
16,NA,0,33,0,0,0,0,7038,0,7038
17,NA,172889,0,0,0,0,0,261753946,252417940,9336006
18,NA,0,96,0,0,0,0,12864,0,12864
19,NA,0,11,0,0,0,0,2346,0,2346
20,NA,68476,0,0,0,0,0,103672664,99974960,3697704
21,NA,0,32,0,0,0,0,4288,0,4288
22,NA,0,7,0,0,0,0,1458,0,1458
23,NA,40948,0,0,0,0,0,61995272,59784080,2211192
24,NA,0,20,0,0,0,0,2680,0,2680
25,NA,0,16,0,0,0,0,3360,0,3360
26,NA,33469,0,0,0,0,0,50672066,48864740,1807326
27,NA,0,48,0,0,0,0,6432,0,6432
28,NA,0,11,0,0,0,0,2346,0,2346
29,NA,50538,0,0,0,0,0,76514532,73785480,2729052
30,NA,0,36,0,0,0,0,4824,0,4824
31,NA,0,23,0,0,0,0,4818,0,4818
32,NA,137903,0,0,0,0,0,208785142,201338380,7446762
33,NA,0,60,0,0,0,0,8040,0,8040
34,NA,0,35,0,0,0,0,7098,0,7098
35,NA,416310,0,0,0,0,0,630293340,607812600,22480740
36,NA,0,52,0,0,0,0,6968,0,6968
37,NA,0,9,0,0,0,0,1710,0,1710
38,NA,126868,0,0,0,0,0,192078152,185227280,6850872
39,NA,0,4,0,0,0,0,536,0,536
40,NA,0,23,0,0,0,0,4818,0,4818
41,NA,136185,0,0,0,0,0,206184090,198830100,7353990
42,NA,0,60,0,0,0,0,8040,0,8040
43,NA,0,18,0,0,0,0,3804,0,3804
44,NA,85177,0,0,0,0,0,128957978,124358420,4599558
45,NA,0,52,0,0,0,0,6968,0,6968
46,NA,0,15,0,0,0,0,3234,0,3234
47,NA,105409,0,0,0,0,0,159589226,153897140,5692086
48,NA,0,48,0,0,0,0,6432,0,6432
49,NA,0,5,0,0,0,0,1014,0,1014
50,NA,73615,0,0,0,0,0,111453110,107477900,3975210
51,NA,0,8,0,0,0,0,1072,0,1072
52,NA,0,34,0,0,0,0,7356,0,7356
53,NA,265374,0,0,0,0,0,401776236,387446040,14330196
54,NA,0,104,0,0,0,0,13936,0,13936
55,NA,0,31,0,0,0,0,6786,0,6786
56,NA,202788,0,0,0,0,0,307021032,296070480,10950552
57,NA,0,100,0,0,0,0,13400,0,13400
58,NA,0,20,0,0,0,0,4248,0,4248
59,NA,189415,0,0,0,0,0,286774310,276545900,10228410
60,NA,0,48,0,0,0,0,6432,0,6432
61,NA,0,9,0,0,0,0,1710,0,1710
62,NA,124222,0,0,0,0,0,188072108,181364120,6707988
63,NA,0,4,0,0,0,0,536,0,536
64,NA,0,11,0,0,0,0,2346,0,2346
65,NA,79778,0,0,0,0,0,120783892,116475880,4308012
66,NA,0,28,0,0,0,0,3752,0,3752
67,NA,0,6,0,0,0,0,1332,0,1332
68,NA,28695,0,0,0,0,0,43444230,41894700,1549530
69,NA,0,20,0,0,0,0,2680,0,2680
70,NA,0,7,0,0,0,0,1458,0,1458
71,NA,43209,0,0,0,0,0,65418426,63085140,2333286
72,NA,0,16,0,0,0,0,2144,0,2144
73,NA,0,2,0,0,0,0,444,0,444
74,NA,69383,0,0,0,0,0,105045862,101299180,3746682
75,NA,0,4,0,0,0,0,536,0,536
76,NA,0,14,0,0,0,0,2916,0,2916
77,NA,80666,0,0,0,0,0,122128324,117772360,4355964
78,NA,0,36,0,0,0,0,4824,0,4824
79,NA,0,10,0,0,0,0,2028,0,2028
80,NA,127104,0,0,0,0,0,192435456,185571840,6863616
81,NA,0,16,0,0,0,0,2144,0,2144
82,NA,0,6,0,0,0,0,1140,0,1140
83,NA,73136,0,0,0,0,0,110727904,106778560,3949344
84,NA,0,4,0,0,0,0,536,0,536
85,NA,0,11,0,0,0,0,2154,0,2154
86,NA,167714,0,0,0,0,0,253918996,244862440,9056556
87,NA,0,12,0,0,0,0,1608,0,1608
88,NA,0,3,0,0,0,0,570,0,570
89,NA,22050,0,0,0,0,0,33383700,32193000,1190700
90,NA,0,4,0,0,0,0,536,0,536
91,NA,0,19,0,0,0,0,4122,0,4122
92,NA,82241,0,0,0,0,0,124512874,120071860,4441014
93,NA,0,60,0,0,0,0,8040,0,8040
94,NA,0,3,0,0,0,0,570,0,570
95,NA,72596,0,0,0,0,0,109910344,105990160,3920184
96,NA,0,0,0,0,0,0,0,0,0
97,NA,0,23,0,0,0,0,4818,0,4818
98,NA,188455,0,0,0,0,0,285320870,275144300,10176570
99,NA,0,56,0,0,0,0,7504,0,7504
100,NA,0,4,0,0,0,0,888,0,888
101,NA,22944,0,0,0,0,0,34737216,33498240,1238976
102,NA,0,16,0,0,0,0,2144,0,2144
103,NA,0,0,0,0,0,0,0,0,0
104,NA,21510,0,0,0,0,0,32566140,31404600,1161540
105,NA,0,0,0,0,0,0,0,0,0
106,NA,0,2,0,0,0,0,444,0,444
107,NA,22125,0,0,0,0,0,33497250,32302500,1194750
108,NA,0,8,0,0,0,0,1072,0,1072
109,NA,0,2,0,0,0,0,444,0,444
110,NA,22330,0,0,0,0,0,33807620,32601800,1205820
111,NA,0,8,0,0,0,0,1072,0,1072
112,NA,0,0,0,0,0,0,0,0,0
113,NA,21510,0,0,0,0,0,32566140,31404600,1161540
114,NA,0,0,0,0,0,0,0,0,0
115,NA,0,0,0,0,0,0,0,0,0
116,NA,21510,0,0,0,0,0,32566140,31404600,1161540
117,NA,0,0,0,0,0,0,0,0,0
118,NA,0,0,0,0,0,0,0,0,0
119,NA,21510,0,0,0,0,0,32566140,31404600,1161540
120,NA,0,0,0,0,0,0,0,0,0
121,NA,0,0,0,0,0,0,0,0,0
122,NA,21510,0,0,0,0,0,32566140,31404600,1161540
123,NA,0,0,0,0,0,0,0,0,0
124,NA,0,0,0,0,0,0,0,0,0
125,NA,21510,0,0,0,0,0,32566140,31404600,1161540
126,NA,0,0,0,0,0,0,0,0,0
127,NA,0,0,0,0,0,0,0,0,0
128,NA,21510,0,0,0,0,0,32566140,31404600,1161540
129,NA,0,0,0,0,0,0,0,0,0
130,NA,0,0,0,0,0,0,0,0,0
131,NA,21510,0,0,0,0,0,32566140,31404600,1161540
132,NA,0,0,0,0,0,0,0,0,0
133,NA,0,0,0,0,0,0,0,0,0
134,NA,21510,0,0,0,0,0,32566140,31404600,1161540
135,NA,0,0,0,0,0,0,0,0,0
136,NA,0,0,0,0,0,0,0,0,0
137,NA,21510,0,0,0,0,0,32566140,31404600,1161540
138,NA,0,0,0,0,0,0,0,0,0
139,NA,0,0,0,0,0,0,0,0,0
140,NA,21510,0,0,0,0,0,32566140,31404600,1161540
141,NA,0,0,0,0,0,0,0,0,0
142,NA,0,0,0,0,0,0,0,0,0
143,NA,21510,0,0,0,0,0,32566140,31404600,1161540
144,NA,0,0,0,0,0,0,0,0,0
145,NA,0,0,0,0,0,0,0,0,0
146,NA,21510,0,0,0,0,0,32566140,31404600,1161540
147,NA,0,0,0,0,0,0,0,0,0
148,NA,0,0,0,0,0,0,0,0,0
149,NA,21510,0,0,0,0,0,32566140,31404600,1161540
150,NA,0,0,0,0,0,0,0,0,0
151,NA,0,0,0,0,0,0,0,0,0
152,NA,0,0,0,0,0,0,0,0,0
153,NA,0,0,0,0,0,0,0,0,0
154,NA,0,0,0,0,0,0,0,0,0
155,NA,0,0,0,0,0,0,0,0,0
156,NA,0,0,0,0,0,0,0,0,0
157,NA,0,0,0,0,0,0,0,0,0
158,NA,0,0,0,0,0,0,0,0,0
159,NA,0,0,0,0,0,0,0,0,0
160,NA,0,0,0,0,0,0,0,0,0
161,NA,0,0,0,0,0,0,0,0,0
162,NA,0,0,0,0,0,0,0,0,0
163,NA,0,0,0,0,0,0,0,0,0
164,NA,0,0,0,0,0,0,0,0,0
165,NA,0,0,0,0,0,0,0,0,0
166,NA,0,0,0,0,0,0,0,0,0
167,NA,0,0,0,0,0,0,0,0,0
168,NA,0,0,0,0,0,0,0,0,0
169,NA,0,0,0,0,0,0,0,0,0
170,NA,0,0,0,0,0,0,0,0,0
171,NA,0,0,0,0,0,0,0,0,0
172,NA,0,0,0,0,0,0,0,0,0
173,NA,0,0,0,0,0,0,0,0,0
174,NA,0,0,0,0,0,0,0,0,0
175,NA,0,0,0,0,0,0,0,0,0
176,NA,0,0,0,0,0,0,0,0,0
177,NA,0,0,0,0,0,0,0,0,0
178,NA,0,0,0,0,0,0,0,0,0
179,NA,0,0,0,0,0,0,0,0,0
180,NA,0,0,0,0,0,0,0,0,0
181,NA,0,0,0,0,0,0,0,0,0
182,NA,0,0,0,0,0,0,0,0,0
183,NA,0,0,0,0,0,0,0,0,0
184,NA,0,0,0,0,0,0,0,0,0
185,NA,0,0,0,0,0,0,0,0,0
186,NA,0,0,0,0,0,0,0,0,0
187,NA,0,0,0,0,0,0,0,0,0
188,NA,0,0,0,0,0,0,0,0,0
189,NA,0,0,0,0,0,0,0,0,0
190,NA,0,0,0,0,0,0,0,0,0
191,NA,0,0,0,0,0,0,0,0,0
192,NA,0,0,0,0,0,0,0,0,0
193,NA,0,0,0,0,0,0,0,0,0
194,NA,0,0,0,0,0,0,0,0,0
195,NA,0,0,0,0,0,0,0,0,0
196,NA,0,0,0,0,0,0,0,0,0
197,NA,0,0,0,0,0,0,0,0,0
198,NA,0,0,0,0,0,0,0,0,0




Queue_Metrics

Device_id,Port_id,Queued_packet,Dequeued_packet,Dropped_packet




TCP_Metrics

Source,Destination,Local Address,Remote Address,Syn Sent,Syn-Ack Sent,Segment Sent,Segment Received,Segment Retransmitted,Ack Sent,Ack Received,Duplicate segment received,Out of order segment received,Duplicate ack received,Times RTO expired
SMF_1,ANY_DEVICE,172.0.0.4:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
AMF_2,ANY_DEVICE,172.0.0.6:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
UPF_3,ANY_DEVICE,172.0.0.2:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
ROUTER_7,ANY_DEVICE,192.168.0.1:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
WIRED_NODE_8,ANY_DEVICE,192.169.0.2:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
UE_57,ANY_DEVICE,172.1.0.147:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
UE_58,ANY_DEVICE,172.1.0.148:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
UE_59,ANY_DEVICE,172.1.0.149:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
UE_60,ANY_DEVICE,172.1.0.150:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
UE_61,ANY_DEVICE,172.1.0.151:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
UE_62,ANY_DEVICE,172.1.0.152:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
UE_63,ANY_DEVICE,172.1.0.153:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
UE_64,ANY_DEVICE,172.1.0.154:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
UE_65,ANY_DEVICE,172.1.0.155:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
UE_66,ANY_DEVICE,172.1.0.156:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
UE_67,ANY_DEVICE,172.1.0.157:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
UE_68,ANY_DEVICE,172.1.0.158:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
