Link_Metrics

Link ID,Link Throughput Plot,Packets Transmitted,Packets Transmitted,Packets Errored,Packets Errored,Packets Collided,Packets Collided,Bytes Transmitted(bytes),Payload Transmitted(bytes),Overhead Transmitted(bytes)
 , ,Data,Control,Data,Control,Data,Control, , , 
All,NA,13339770,768,0,0,0,0,20116410564,19476064200,640346364
1,NA,0,144,0,0,0,0,24384,0,24384
2,NA,0,120,0,0,0,0,19680,0,19680
3,NA,0,204,0,0,0,0,39528,0,39528
4,NA,3082200,0,0,0,0,0,4666450800,4500012000,166438800
5,NA,3082200,0,0,0,0,0,4586313600,4500012000,86301600
6,NA,3082200,0,0,0,0,0,4666450800,4500012000,166438800
7,NA,0,15,0,0,0,0,2850,0,2850
8,NA,236351,0,0,0,0,0,357835414,345072460,12762954
9,NA,0,4,0,0,0,0,536,0,536
10,NA,0,6,0,0,0,0,1140,0,1140
11,NA,123664,0,0,0,0,0,187227296,180549440,6677856
12,NA,0,0,0,0,0,0,0,0,0
13,NA,0,0,0,0,0,0,0,0,0
14,NA,21510,0,0,0,0,0,32566140,31404600,1161540
15,NA,0,0,0,0,0,0,0,0,0
16,NA,0,11,0,0,0,0,2154,0,2154
17,NA,184398,0,0,0,0,0,279178572,269221080,9957492
18,NA,0,8,0,0,0,0,1072,0,1072
19,NA,0,5,0,0,0,0,1014,0,1014
20,NA,74644,0,0,0,0,0,113011016,108980240,4030776
21,NA,0,8,0,0,0,0,1072,0,1072
22,NA,0,3,0,0,0,0,570,0,570
23,NA,29440,0,0,0,0,0,44572160,42982400,1589760
24,NA,0,4,0,0,0,0,536,0,536
25,NA,0,6,0,0,0,0,1140,0,1140
26,NA,123664,0,0,0,0,0,187227296,180549440,6677856
27,NA,0,0,0,0,0,0,0,0,0
28,NA,0,3,0,0,0,0,570,0,570
29,NA,72313,0,0,0,0,0,109481882,105576980,3904902
30,NA,0,0,0,0,0,0,0,0,0
31,NA,0,9,0,0,0,0,1710,0,1710
32,NA,174467,0,0,0,0,0,264143038,254721820,9421218
33,NA,0,0,0,0,0,0,0,0,0
34,NA,0,25,0,0,0,0,4878,0,4878
35,NA,405419,0,0,0,0,0,613804366,591911740,21892626
36,NA,0,12,0,0,0,0,1608,0,1608
37,NA,0,9,0,0,0,0,1710,0,1710
38,NA,174741,0,0,0,0,0,264557874,255121860,9436014
39,NA,0,0,0,0,0,0,0,0,0
40,NA,0,11,0,0,0,0,2154,0,2154
41,NA,160220,0,0,0,0,0,242573080,233921200,8651880
42,NA,0,8,0,0,0,0,1072,0,1072
43,NA,0,6,0,0,0,0,1140,0,1140
44,NA,88462,0,0,0,0,0,133931468,129154520,4776948
45,NA,0,4,0,0,0,0,536,0,536
46,NA,0,3,0,0,0,0,570,0,570
47,NA,72313,0,0,0,0,0,109481882,105576980,3904902
48,NA,0,0,0,0,0,0,0,0,0
49,NA,0,3,0,0,0,0,570,0,570
50,NA,72587,0,0,0,0,0,109896718,105977020,3919698
51,NA,0,0,0,0,0,0,0,0,0
52,NA,0,10,0,0,0,0,2028,0,2028
53,NA,210303,0,0,0,0,0,318398742,307042380,11356362
54,NA,0,8,0,0,0,0,1072,0,1072
55,NA,0,5,0,0,0,0,1014,0,1014
56,NA,119364,0,0,0,0,0,180717096,174271440,6445656
57,NA,0,4,0,0,0,0,536,0,536
58,NA,0,8,0,0,0,0,1584,0,1584
59,NA,172565,0,0,0,0,0,261263410,251944900,9318510
60,NA,0,4,0,0,0,0,536,0,536
61,NA,0,9,0,0,0,0,1710,0,1710
62,NA,125660,0,0,0,0,0,190249240,183463600,6785640
63,NA,0,4,0,0,0,0,536,0,536
64,NA,0,3,0,0,0,0,570,0,570
65,NA,72596,0,0,0,0,0,109910344,105990160,3920184
66,NA,0,0,0,0,0,0,0,0,0
67,NA,0,0,0,0,0,0,0,0,0
68,NA,21510,0,0,0,0,0,32566140,31404600,1161540
69,NA,0,0,0,0,0,0,0,0,0
