Link_Metrics

Link ID,Link Throughput Plot,Packets Transmitted,Packets Transmitted,Packets Errored,Packets Errored,Packets Collided,Packets Collided,Bytes Transmitted(bytes),Payload Transmitted(bytes),Overhead Transmitted(bytes)
 , ,Data,Control,Data,Control,Data,Control, , , 
All,NA,13339770,3162,0,0,0,0,20116812756,19476064200,640748556
1,NA,0,486,0,0,0,0,91416,0,91416
2,NA,0,120,0,0,0,0,19680,0,19680
3,NA,0,546,0,0,0,0,115452,0,115452
4,NA,3082200,0,0,0,0,0,4666450800,4500012000,166438800
5,NA,3082200,0,0,0,0,0,4586313600,4500012000,86301600
6,NA,3082200,0,0,0,0,0,4666450800,4500012000,166438800
7,NA,0,29,0,0,0,0,5958,0,5958
8,NA,233896,0,0,0,0,0,354118544,341488160,12630384
9,NA,0,60,0,0,0,0,8040,0,8040
10,NA,0,20,0,0,0,0,4248,0,4248
11,NA,110935,0,0,0,0,0,167955590,161965100,5990490
12,NA,0,56,0,0,0,0,7504,0,7504
13,NA,0,0,0,0,0,0,0,0,0
14,NA,21510,0,0,0,0,0,32566140,31404600,1161540
15,NA,0,0,0,0,0,0,0,0,0
16,NA,0,25,0,0,0,0,5262,0,5262
17,NA,123994,0,0,0,0,0,187726916,181031240,6695676
18,NA,0,68,0,0,0,0,9112,0,9112
19,NA,0,9,0,0,0,0,1902,0,1902
20,NA,75260,0,0,0,0,0,113943640,109879600,4064040
21,NA,0,24,0,0,0,0,3216,0,3216
22,NA,0,23,0,0,0,0,5010,0,5010
23,NA,143068,0,0,0,0,0,216604952,208879280,7725672
24,NA,0,72,0,0,0,0,9648,0,9648
25,NA,0,24,0,0,0,0,5136,0,5136
26,NA,80937,0,0,0,0,0,122538618,118168020,4370598
27,NA,0,76,0,0,0,0,10184,0,10184
28,NA,0,15,0,0,0,0,3234,0,3234
29,NA,78690,0,0,0,0,0,119136660,114887400,4249260
30,NA,0,48,0,0,0,0,6432,0,6432
31,NA,0,21,0,0,0,0,4374,0,4374
32,NA,133995,0,0,0,0,0,202868430,195632700,7235730
33,NA,0,52,0,0,0,0,6968,0,6968
34,NA,0,43,0,0,0,0,8874,0,8874
35,NA,393092,0,0,0,0,0,595141288,573914320,21226968
36,NA,0,84,0,0,0,0,11256,0,11256
37,NA,0,19,0,0,0,0,3930,0,3930
38,NA,148242,0,0,0,0,0,224438388,216433320,8005068
39,NA,0,40,0,0,0,0,5360,0,5360
40,NA,0,15,0,0,0,0,3042,0,3042
41,NA,78040,0,0,0,0,0,118152560,113938400,4214160
42,NA,0,32,0,0,0,0,4288,0,4288
43,NA,0,20,0,0,0,0,4248,0,4248
44,NA,112912,0,0,0,0,0,170948768,164851520,6097248
45,NA,0,56,0,0,0,0,7504,0,7504
46,NA,0,13,0,0,0,0,2790,0,2790
47,NA,115667,0,0,0,0,0,175119838,168873820,6246018
48,NA,0,36,0,0,0,0,4824,0,4824
49,NA,0,5,0,0,0,0,1014,0,1014
50,NA,73411,0,0,0,0,0,111144254,107180060,3964194
51,NA,0,8,0,0,0,0,1072,0,1072
52,NA,0,20,0,0,0,0,4248,0,4248
53,NA,222429,0,0,0,0,0,336757506,324746340,12011166
54,NA,0,48,0,0,0,0,6432,0,6432
55,NA,0,31,0,0,0,0,6786,0,6786
56,NA,199509,0,0,0,0,0,302056626,291283140,10773486
57,NA,0,104,0,0,0,0,13936,0,13936
58,NA,0,22,0,0,0,0,4692,0,4692
59,NA,183460,0,0,0,0,0,277758440,267851600,9906840
60,NA,0,60,0,0,0,0,8040,0,8040
61,NA,0,21,0,0,0,0,4374,0,4374
62,NA,131406,0,0,0,0,0,198948684,191852760,7095924
63,NA,0,52,0,0,0,0,6968,0,6968
64,NA,0,5,0,0,0,0,1014,0,1014
65,NA,71773,0,0,0,0,0,108664322,104788580,3875742
66,NA,0,8,0,0,0,0,1072,0,1072
67,NA,0,12,0,0,0,0,2664,0,2664
68,NA,62388,0,0,0,0,0,94455432,91086480,3368952
69,NA,0,44,0,0,0,0,5896,0,5896
70,NA,0,9,0,0,0,0,1902,0,1902
71,NA,71562,0,0,0,0,0,108344868,104480520,3864348
72,NA,0,24,0,0,0,0,3216,0,3216
73,NA,0,6,0,0,0,0,1332,0,1332
74,NA,48217,0,0,0,0,0,73000538,70396820,2603718
75,NA,0,24,0,0,0,0,3216,0,3216
76,NA,0,20,0,0,0,0,4248,0,4248
77,NA,81277,0,0,0,0,0,123053378,118664420,4388958
78,NA,0,60,0,0,0,0,8040,0,8040
79,NA,0,12,0,0,0,0,2472,0,2472
80,NA,173946,0,0,0,0,0,263354244,253961160,9393084
81,NA,0,20,0,0,0,0,2680,0,2680
82,NA,0,8,0,0,0,0,1584,0,1584
83,NA,23205,0,0,0,0,0,35132370,33879300,1253070
84,NA,0,16,0,0,0,0,2144,0,2144
85,NA,0,15,0,0,0,0,3042,0,3042
86,NA,168119,0,0,0,0,0,254532166,245453740,9078426
87,NA,0,24,0,0,0,0,3216,0,3216
88,NA,0,3,0,0,0,0,570,0,570
89,NA,22051,0,0,0,0,0,33385214,32194460,1190754
90,NA,0,4,0,0,0,0,536,0,536
91,NA,0,13,0,0,0,0,2790,0,2790
92,NA,77318,0,0,0,0,0,117059452,112884280,4175172
93,NA,0,40,0,0,0,0,5360,0,5360
94,NA,0,5,0,0,0,0,1014,0,1014
95,NA,71567,0,0,0,0,0,108352438,104487820,3864618
96,NA,0,8,0,0,0,0,1072,0,1072
97,NA,0,31,0,0,0,0,6594,0,6594
98,NA,171399,0,0,0,0,0,259498086,250242540,9255546
99,NA,0,88,0,0,0,0,11792,0,11792
100,NA,0,4,0,0,0,0,888,0,888
101,NA,22741,0,0,0,0,0,34429874,33201860,1228014
102,NA,0,16,0,0,0,0,2144,0,2144
103,NA,0,0,0,0,0,0,0,0,0
104,NA,21510,0,0,0,0,0,32566140,31404600,1161540
105,NA,0,0,0,0,0,0,0,0,0
106,NA,0,14,0,0,0,0,3108,0,3108
107,NA,29927,0,0,0,0,0,45309478,43693420,1616058
108,NA,0,56,0,0,0,0,7504,0,7504
109,NA,0,14,0,0,0,0,3108,0,3108
110,NA,36087,0,0,0,0,0,54635718,52687020,1948698
111,NA,0,56,0,0,0,0,7504,0,7504
112,NA,0,0,0,0,0,0,0,0,0
113,NA,21510,0,0,0,0,0,32566140,31404600,1161540
114,NA,0,0,0,0,0,0,0,0,0
115,NA,0,0,0,0,0,0,0,0,0
116,NA,21510,0,0,0,0,0,32566140,31404600,1161540
117,NA,0,0,0,0,0,0,0,0,0
118,NA,0,0,0,0,0,0,0,0,0
119,NA,21510,0,0,0,0,0,32566140,31404600,1161540
120,NA,0,0,0,0,0,0,0,0,0
121,NA,0,0,0,0,0,0,0,0,0
122,NA,21510,0,0,0,0,0,32566140,31404600,1161540
123,NA,0,0,0,0,0,0,0,0,0
124,NA,0,0,0,0,0,0,0,0,0
125,NA,21510,0,0,0,0,0,32566140,31404600,1161540
126,NA,0,0,0,0,0,0,0,0,0
127,NA,0,0,0,0,0,0,0,0,0
128,NA,21510,0,0,0,0,0,32566140,31404600,1161540
129,NA,0,0,0,0,0,0,0,0,0
130,NA,0,0,0,0,0,0,0,0,0
131,NA,21510,0,0,0,0,0,32566140,31404600,1161540
132,NA,0,0,0,0,0,0,0,0,0
133,NA,0,0,0,0,0,0,0,0,0
134,NA,21510,0,0,0,0,0,32566140,31404600,1161540
135,NA,0,0,0,0,0,0,0,0,0
136,NA,0,0,0,0,0,0,0,0,0
137,NA,21510,0,0,0,0,0,32566140,31404600,1161540
138,NA,0,0,0,0,0,0,0,0,0
139,NA,0,0,0,0,0,0,0,0,0
140,NA,21510,0,0,0,0,0,32566140,31404600,1161540
141,NA,0,0,0,0,0,0,0,0,0
142,NA,0,0,0,0,0,0,0,0,0
143,NA,21510,0,0,0,0,0,32566140,31404600,1161540
144,NA,0,0,0,0,0,0,0,0,0
145,NA,0,0,0,0,0,0,0,0,0
146,NA,21510,0,0,0,0,0,32566140,31404600,1161540
147,NA,0,0,0,0,0,0,0,0,0
148,NA,0,0,0,0,0,0,0,0,0
149,NA,21510,0,0,0,0,0,32566140,31404600,1161540
150,NA,0,0,0,0,0,0,0,0,0
151,NA,0,0,0,0,0,0,0,0,0
152,NA,0,0,0,0,0,0,0,0,0
153,NA,0,0,0,0,0,0,0,0,0
154,NA,0,0,0,0,0,0,0,0,0
155,NA,0,0,0,0,0,0,0,0,0
156,NA,0,0,0,0,0,0,0,0,0
157,NA,0,0,0,0,0,0,0,0,0
158,NA,0,0,0,0,0,0,0,0,0
159,NA,0,0,0,0,0,0,0,0,0
160,NA,0,0,0,0,0,0,0,0,0
161,NA,0,0,0,0,0,0,0,0,0
162,NA,0,0,0,0,0,0,0,0,0
163,NA,0,0,0,0,0,0,0,0,0
164,NA,0,0,0,0,0,0,0,0,0
165,NA,0,0,0,0,0,0,0,0,0
166,NA,0,0,0,0,0,0,0,0,0
167,NA,0,0,0,0,0,0,0,0,0
168,NA,0,0,0,0,0,0,0,0,0
169,NA,0,0,0,0,0,0,0,0,0
170,NA,0,0,0,0,0,0,0,0,0
171,NA,0,0,0,0,0,0,0,0,0
172,NA,0,0,0,0,0,0,0,0,0
173,NA,0,0,0,0,0,0,0,0,0
174,NA,0,0,0,0,0,0,0,0,0
175,NA,0,0,0,0,0,0,0,0,0
176,NA,0,0,0,0,0,0,0,0,0
177,NA,0,0,0,0,0,0,0,0,0
178,NA,0,0,0,0,0,0,0,0,0
179,NA,0,0,0,0,0,0,0,0,0
180,NA,0,0,0,0,0,0,0,0,0
181,NA,0,0,0,0,0,0,0,0,0
182,NA,0,0,0,0,0,0,0,0,0
183,NA,0,0,0,0,0,0,0,0,0
184,NA,0,0,0,0,0,0,0,0,0
185,NA,0,0,0,0,0,0,0,0,0
186,NA,0,0,0,0,0,0,0,0,0
187,NA,0,0,0,0,0,0,0,0,0
188,NA,0,0,0,0,0,0,0,0,0
189,NA,0,0,0,0,0,0,0,0,0
190,NA,0,0,0,0,0,0,0,0,0
191,NA,0,0,0,0,0,0,0,0,0
192,NA,0,0,0,0,0,0,0,0,0
193,NA,0,0,0,0,0,0,0,0,0
194,NA,0,0,0,0,0,0,0,0,0
195,NA,0,0,0,0,0,0,0,0,0
196,NA,0,0,0,0,0,0,0,0,0
197,NA,0,0,0,0,0,0,0,0,0
198,NA,0,0,0,0,0,0,0,0,0




Queue_Metrics

Device_id,Port_id,Queued_packet,Dequeued_packet,Dropped_packet




TCP_Metrics

